Answer,prompt
1,Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3.. How much money did he spend to buy chocolate than he did to buy candy bar?
12,Ed had 29 more marbles than Doug. Ed lost 17 of his marbles at the playground.. How many more marbles did Ed have than Doug then?
30,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 10 inches farther than the grasshopper and the mouse jumped 20 inches farther than the frog.. How much farther did the mouse jump than the grasshopper?"
7,Frank was reading through his favorite book. It took him 16 days to finish the book. If the book had 112 pages. How many pages did he read per day?
15,There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books. How many books have you already read?
10,Allan brought 3 balloons and Jake brought 5 balloons to the park. Allan then bought 2 more balloons at the park.. How many balloons did Allan and Jake have in the park?
8,Josh lost 11 marbles. If he had 19 marbles in his collection earlier. How many marbles does he have now?
1,Allan brought 6 balloons and Jake brought 3 balloons to the park. Jake then bought 4 more balloons at the park.. How many more balloons did Jake have than Allan in the park?
154,Faye was placing her pencils into 14 rows with 11 pencils in each row.. How many pencils does she have?
39,A grocery store had 22 bottles of regular soda and 61 bottles of diet soda.. How many more bottles of diet soda than regular soda did they have?
96,There are 6 baskets of peaches. Each basket has 16 red peaches and 18 green peaches.. How many red peaches are in the baskets altogether?
28462,During summer break 800059 kids from Lawrence county go to camp and the rest stay home. Lawrence county has 828521 kids in all.. About how many kids stayed home?
10011,There are 141 pots. Each pot has 71 flowers and 91 sticks in it.. How many flowers are there in all?
1,Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.. How many more balloons did Allan have than Jake in the park?
23,"A chef had 58 apples. After making some pies, he had used 35.. How many apples remained?"
2,You had 26 bags with equal number of cookies. If you had 15 candies and 52 cookies in total. How many cookies does each bag have?
1862,He then went to see the oranges being harvested. He found out that they harvest 38 sacks per day and that each sack containes 42 oranges.. How many sacks of oranges will they have after 49 days of harvest?
4,There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase.. How many orchids did she cut?
1,"Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening.. How many more emails did Jack receive in the afternoon than in the evening?"
84,Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils.. How many pencils does she have?
104,A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today.. How many did he have left after yesterday's picking?
10,Each pot has 40 flowers in it. There are 400 flowers in total.. How many pots are there in all?
17,15 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of 32 campers went rowing that day. How many campers went rowing in the afternoon?
10,Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu. How many more students suggested bacon than those that suggested mashed potatoes?
22,Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles. How many marbles did Doug have initially?
3,Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework. How many pages of reading homework did she have to complete?
25,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning.. How many more chocolate chip cookies than raisin cakes did Helen bake?
4,Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether. How many bags did she have on monday?
33,Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection.. How many more bottle caps did danny throw away than those he found at the park?
12,Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar.. How many more cups of flour than cups of sugar does she need to add now?
118,Kelly has 22 nintendo games.. How many does she need to buy so that she will have 140 games left?
5,Mom buys 70 white t - shirts in total. If white t - shirts can be purchased in packages and mom buys 14 packages. How many white t - shirts does each package have?
7,A farmer had 171 tomatoes in his garden. If he picked 134 of them yesterday and 30 today.. How many will he have left after today?
192,Last week Fred had 47 dollars and Jason had 99 dollars. Over the weekend Fred delivered newspapers earning 111 dollars and washed cars earning 34 dollars.. How much money does Fred have now?
7,Mary is baking a cake. The recipe calls for 6 cups of sugar and 14 cups of flour. She already put in 7 cups of flour and 60 cups of sugar.. How many more cups of flour does she need to add?
9,There were 7 roses and 12 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 11 roses and 20 orchids in the vase.. How many more orchids than roses are there in the vase now?
34,After Jessie started to go jogging everyday she lost 35 kilograms. She weighed 69 kilograms before beginning jogging.. How much does she weigh now?
60,22 children were riding on the bus. At the bus stop 40 children got on the bus while some got off the bus. Then there were 2 children altogether on the bus.. How many children got off the bus at the bus stop?
1,There are 10 different books and 11 different movies in the ' crazy silly school ' series. If you read 13 of the books and watched 12 of the movies. How many more books than movies have you read?
308,Emily is making bead necklaces for her friends. She made 11 necklaces and each necklace takes 28 beads.. How many beads did Emily have?
80,A farmer had 175 tomatoes and 77 potatoes in his garden. If he picked 172 potatoes. How many tomatoes and potatoes does he have left?
4,Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars.. How much money did they earn by washing cars?
180,A mailman has to give 9 pieces of junk mail to each house in each block. If there are 20 houses on a block. How many pieces of junk mail should he give in each block?
2,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initially. How many cakes did each person eat?
16,Jessica cut some roses from her flower garden to put in her vase. There are now 19 roses in the vase. If there were 3 roses in the vase initially. How many roses did she cut?
15,23 children were riding on the bus. At the bus stop 24 children got on the bus while some got off the bus. Then there were 8 children altogether on the bus.. How many more children got off the bus than those that got on?
125,A book has 3 chapters. The first chapter is 66 pages long the second chapter is 35 pages long and the third chapter is 24 pages long.. How many pages does the book have altogether?
30,"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket.. How many peaches are in the basket?"
6,Paige was helping her mom plant flowers and they put 10 seeds in each flower bed. If they planted 60 seeds altogther. How many flower beds did they have?
137,Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoes. How many more students suggested mashed potatoes than those that suggested bacon?
1124,In a school there are 135 girls and 214 boys. 496 more girls and 910 more boys joined the school.. How many boys are there in the school now?
81,After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet. How much deeper is the water than Dean's height?
469,Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of wax. How many grams of wax does he already have?
72,Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pages. How many days did he take to finish the book?
3,There are a total of 16 peaches in a basket. If there are 13 red peaches and some more green peaches in the basket.. How many green peaches are in the basket?
12,After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet. How deep was the water?
174080,There are 544 pots in each of the 10 gardens. Each pot has 32 flowers in it.. How many flowers are there in all?
450,Paige was helping her mom plant flowers and together they planted some seeds. They put 10 seeds in each flower bed. If there are 45 flowerbeds. How many seeds did they plant?
34,Marco and his dad went strawberry picking. Together their strawberries weighed 4 pounds. Marco's strawberries weighed 19 pounds.. How much more did his strawberries weigh than his dad's?
2,Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday.. How many more kids did she play with on monday than on wednesday?
5,Carol was sending out birthday invitations to 10 friends. If each package of invitations she bought had 2 invitations in it. How many packs does she need so that no friend gets left out?
98,"A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda.. How many more bottles than apple did they have?"
21,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 14 inches. The mouse jumped 16 inches lesser than the frog who jumped 37 inches farther than the grasshopper.. How much farther did the mouse jump than the grasshopper?"
638,Faye was placing her pencils and crayons into 11 rows with 31 pencils and 27 crayons in each row.. How many pencils and crayons does she have altogether?
29,The school is planning a field trip. The school has 87 classrooms. There are 58 students in the school with each classroom having the same number of students. If there are 2 seats on each school bus.. How many buses are needed to take the trip?
16,Emily is making bead necklaces for her friends. She had 2 beads and she was able to make 32 necklaces.. How many beads did each necklace need?
4,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left.. How many fishes disappeared?
13,Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies.. How many more salty cookies than sweet cookies did he eat?
5,Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill.. How many peaches does Jill have?
37,Paul had 115 books. He sold 78 books in a garage sale.. How many books does he have left with him?
2,An industrial machine made 13 shirts yesterday and 3 shirts today. It can make 8 shirts a minute.. How many minutes did the machine work in all?
95,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 14 invitations in it and she bought 6 packs. Then she bought 11 extra invitations.. How many friends can she invite?
2,An industrial machine can make 3 shirts per minute. It made 6 shirts in all.. How many minutes was the machine working?
21,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection.. How many bottle caps did danny have at first?
58,A grocery store had 67 bottles of regular soda and 9 bottles of diet soda.. How many more bottles of regular soda than diet soda did they have?
1538832,During summer break 644997 kids from Lawrence county stayed home and the other 893835 kids went to camp. An additional 78 kids from outside the county attended the camp.. How many kids are in Lawrence county?
6,Faye was placing 30 pencils into rows with 5 pencils in each row.. How many rows could she make?
858,Frank had some pieces of candy. If he put them into 26 bags with 33 pieces in each bag. How many pieces of candy did he have?
8,A grocery store had a total of 17 bottles of which 9 were bottles of regular soda and the rest were bottles of diet soda. They also had 29 apple.. How many bottles of diet soda did they have?
5,Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches.. How many more peaches does Jake have than Jill?
18,Josh had 20 marbles in his collection. He gave 2 marbles to Jack.. How many marbles does Josh have now?
8,Steven has 12 peaches. Jake has 4 fewer peaches than Steven who has 67 more peaches than Jill.. How many peaches does Jake have?
8722,The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas game. How much money did they make from selling the t-shirts during the arkansas game?
14,"Jack received 6 emails in the morning, 3 emails in the afternoon and 5 emails in the evening.. How many emails did Jack receive in the day?"
13,Jake has 5 fewer peaches than Steven. Steven has 18 more peaches than Jill. If Jill has 87 peaches. How many more peaches does Jake have than Jill?
229,For the walls of the house he would use 13 large planks of wood. If each plank of wood needs 17 pieces of nails to be secured and in addition 8 nails are needed for some smaller planks.. How many nails does John need for the house wall?
29,"A grocery store had 54 bottles of diet soda, 83 bottles of regular soda and 12 apples.. How many more bottles of regular soda than diet soda did they have?"
61,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes. How many more students suggested mashed potatoes than those that suggested bacon?
420,Brenda's mother made cookies for 14. If each of them had 30 cookies. How many cookies did she prepare?
1,Dave had 15 apps on his phone. He added 71 new apps. After deleting some he had 14 left.. How many more apps did he delete than he added?
42,Kelly has 106 nintendo games.. How many will she have left if she gives away 64 games?
1,Matthew had 15 crackers. If Matthew gave equal numbers of crackers to his 5 friends and still had 10 crackers left. How many crackers did each friend eat?
56,Last week Fred had 114 dollars and Jason had 22 dollars. They washed cars over the weekend and now Fred has 21 dollars and Jason has 78 dollars.. How much money did Jason make over the weekend?
21,Frank had 42 pieces of candy. If he put them equally into 2 bags. How many pieces of candy are in each bag?
4,Jack received 6 emails in the morning and 2 emails in the afternoon.. How many more emails did Jack receive in the morning than in the afternoon?
76,Baker made 43 cakes and 114 pastries. If he sold 154 pastries and 78 cakes. How many more pastries than cakes did baker sell?
10,Haley has 20 marbles. In her class 2 boys love to play marbles. If she distributes her marbles equally. How many will each of the boys receive?
2,They decided to hold the party in their backyard. They have 4 sets of tables and each set has 3 chairs. If a total of 14 people will attend the party. How many more chairs will they have to buy?
21,Last week Fred had 19 dollars and Jason had 16 dollars. They washed cars over the weekend and now Fred has 40 dollars and Jason has 69 dollars.. How much money did Fred earn over the weekend?
2,Paco had 25 cookies. He ate 5 of them. Then he bought 3 more cookies. How many more cookies did he eat than those he bought?
28,Rachel has 4 apple trees. She picked 7 apples from each of her trees. Now the trees have a total 29 apples still on them.. How many apples did Rachel pick in all?
7,Jake has 8 fewer peaches and 10 more apples than Steven. Steven has 11 apples and 18 peaches.. How many more peaches than apples does Steven have?
2,A grocery store had a total of 30 bottles of which 28 were bottles of regular soda and the rest were bottles of diet soda.. How many bottles of diet soda did they have?
28,The Ferris wheel in paradise park has 2 small seats and 23 large seats. Each small seat can hold 14 people and large seat can hold 54 people.. How many people can ride the Ferris wheel on small seats?
40,Debby bought 360 soda bottles and 162 water bottles when they were on sale. If she drank 122 water bottles and 9 soda bottles a day. How many days would the soda bottles last?
